DATE,INDPRO
1983/12/1,51.9769
1984/1/1,53.0088
1984/2/1,53.2486
1984/3/1,53.5028
1984/4/1,53.8233
1984/5/1,54.1104
1984/6/1,54.3075
1984/7/1,54.4587
1984/8/1,54.5239
1984/9/1,54.3696
1984/10/1,54.3474
1984/11/1,54.529
1984/12/1,54.5556
1985/1/1,54.527
1985/2/1,54.6871
1985/3/1,54.7673
1985/4/1,54.6467
1985/5/1,54.7396
1985/6/1,54.711
1985/7/1,54.4365
1985/8/1,54.6121
1985/9/1,54.8147
1985/10/1,54.6228
1985/11/1,54.8123
1985/12/1,55.3553
1986/1/1,55.6453
1986/2/1,55.2634
1986/3/1,54.8728
1986/4/1,54.935
1986/5/1,55.0399
1986/6/1,54.826
1986/7/1,55.167
1986/8/1,55.0726
1986/9/1,55.2237
1986/10/1,55.4589
1986/11/1,55.6763
1986/12/1,56.2078
1987/1/1,55.9911
1987/2/1,56.7373
1987/3/1,56.8136
1987/4/1,57.185
1987/5/1,57.5424
1987/6/1,57.8502
1987/7/1,58.2421
1987/8/1,58.6784
1987/9/1,58.9088
1987/10/1,59.7008
1987/11/1,59.9956
1987/12/1,60.3246
1988/1/1,60.309
1988/2/1,60.6122
1988/3/1,60.7452
1988/4/1,61.108
1988/5/1,60.9843
1988/6/1,61.1615
1988/7/1,61.171
1988/8/1,61.4771
1988/9/1,61.2785
1988/10/1,61.5488
1988/11/1,61.7049
1988/12/1,61.9851
1989/1/1,62.1677
1989/2/1,61.8916
1989/3/1,62.0508
1989/4/1,62.0289
1989/5/1,61.6871
1989/6/1,61.6857
1989/7/1,61.0896
1989/8/1,61.6847
1989/9/1,61.4794
1989/10/1,61.4014
1989/11/1,61.6081
1989/12/1,61.9588
1990/1/1,61.6352
1990/2/1,62.1951
1990/3/1,62.4916
1990/4/1,62.3511
1990/5/1,62.5353
1990/6/1,62.7479
1990/7/1,62.6435
1990/8/1,62.8704
1990/9/1,62.8839
1990/10/1,62.4973
1990/11/1,61.7175
1990/12/1,61.2885
1991/1/1,61.0842
1991/2/1,60.6387
1991/3/1,60.2973
1991/4/1,60.4524
1991/5/1,61.0587
1991/6/1,61.5514
1991/7/1,61.7201
1991/8/1,61.7289
1991/9/1,62.2369
1991/10/1,62.1718
1991/11/1,62.0894
1991/12/1,61.806
1992/1/1,61.4823
1992/2/1,61.9192
1992/3/1,62.4403
1992/4/1,62.9199
1992/5/1,63.1268
1992/6/1,63.1624
1992/7/1,63.7348
1992/8/1,63.3802
1992/9/1,63.5834
1992/10/1,64.0178
1992/11/1,64.2628
1992/12/1,64.3599
1993/1/1,64.6135
1993/2/1,64.9262
1993/3/1,64.8627
1993/4/1,65.0423
1993/5/1,64.8006
1993/6/1,64.9476
1993/7/1,65.1142
1993/8/1,65.0421
1993/9/1,65.3749
1993/10/1,65.863
1993/11/1,66.1696
1993/12/1,66.5531
1994/1/1,66.7591
1994/2/1,66.8019
1994/3/1,67.4704
1994/4/1,67.8707
1994/5/1,68.187
1994/6/1,68.645
1994/7/1,68.7317
1994/8/1,69.1882
1994/9/1,69.3935
1994/10/1,69.9576
1994/11/1,70.4288
1994/12/1,71.1273
1995/1/1,71.2635
1995/2/1,71.1758
1995/3/1,71.2796
1995/4/1,71.1538
1995/5/1,71.4997
1995/6/1,71.7327
1995/7/1,71.4334
1995/8/1,72.3723
1995/9/1,72.6543
1995/10/1,72.5336
1995/11/1,72.717
1995/12/1,72.9638
1996/1/1,72.5712
1996/2/1,73.6207
1996/3/1,73.5141
1996/4/1,74.2491
1996/5/1,74.8142
1996/6/1,75.3726
1996/7/1,75.3738
1996/8/1,75.7557
1996/9/1,76.2302
1996/10/1,76.2157
1996/11/1,76.8973
1996/12/1,77.3772
1997/1/1,77.5135
1997/2/1,78.4255
1997/3/1,78.9197
1997/4/1,78.9848
1997/5/1,79.4296
1997/6/1,79.7971
1997/7/1,80.4666
1997/8/1,81.2825
1997/9/1,82.0327
1997/10/1,82.7656
1997/11/1,83.427
1997/12/1,83.784
1998/1/1,84.1564
1998/2/1,84.3066
1998/3/1,84.342
1998/4/1,84.6339
1998/5/1,85.1867
1998/6/1,84.6809
1998/7/1,84.3445
1998/8/1,86.0816
1998/9/1,86.0023
1998/10/1,86.591
1998/11/1,86.5115
1998/12/1,86.8615
1999/1/1,87.2205
1999/2/1,87.726
